#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0       29    0.234    1.973    0.699       94    7.454
       1       17    0.137    2.008    0.764       47    7.111
       2       15    0.121    1.771    0.817        1    7.628
       3       15    0.121    2.013    0.684       95    7.077
       4       12    0.097    1.880    0.863       24    7.589
       5       11    0.089    1.423    0.467       21    7.439
       6        8    0.065    1.393    0.673      105    7.679
       7        6    0.048    1.348    0.608       33    6.607
       8        5    0.040    1.199    0.551      109    8.082
       9        3    0.024    0.120    0.041       35    7.018
      10        2    0.016    1.037    0.000       45    6.783
      11        1    0.008    0.000    0.000       73    7.700
