#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0       36    0.286    2.176    0.699       91    7.644
       1       21    0.167    1.963    0.745      117    7.581
       2       15    0.119    1.817    0.782        8    7.718
       3       12    0.095    2.045    0.824      111    7.906
       4       11    0.087    1.861    0.855       28    6.507
       5       11    0.087    1.707    0.617       87    7.038
       6        4    0.032    0.862    0.337       49    6.697
       7        3    0.024    0.624    0.348       30    6.829
       8        3    0.024    0.516    0.157       71    7.793
       9        3    0.024    0.149    0.043      106    8.157
      10        3    0.024    0.834    0.462      107    7.581
      11        2    0.016    0.895    0.000       53    7.444
      12        2    0.016    0.782    0.000       67    7.257
