#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0     2218    0.222    1.574    0.224     6897    2.203
       1     1745    0.174    1.560    0.204     3864    2.205
       2     1634    0.163    1.474    0.176     8470    2.359
       3      992    0.099    1.487    0.232     1852    2.278
       4      604    0.060    1.441    0.163     8051    2.385
       5      517    0.052    1.457    0.215      552    2.384
       6      494    0.049    1.528    0.280      957    2.202
       7      427    0.043    1.623    0.269     3425    2.479
       8      426    0.043    1.528    0.273     2574    2.285
       9      270    0.027    1.545    0.254     2850    2.192
      10      242    0.024    1.532    0.253      175    2.400
      11      199    0.020    1.464    0.241     7611    2.205
      12      139    0.014    1.493    0.265     7503    2.272
      13       63    0.006    1.226    0.170       35    2.528
      14       30    0.003    1.264    0.167     3030    2.296
