#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0     1657    0.166    1.519    0.218     9470    1.963
       1     1463    0.146    1.490    0.221     4112    2.126
       2     1258    0.126    1.411    0.166     1370    2.032
       3     1176    0.118    1.468    0.201     6911    2.072
       4      999    0.100    1.520    0.218     5905    1.994
       5      857    0.086    1.538    0.216     2274    1.933
       6      587    0.059    1.467    0.201     2982    1.949
       7      438    0.044    1.297    0.166     8739    2.056
       8      434    0.043    1.427    0.196      292    2.076
       9      340    0.034    1.459    0.212     5247    2.090
      10      244    0.024    1.465    0.204      536    2.048
      11      194    0.019    1.529    0.276     5470    2.023
      12      165    0.017    1.304    0.203     3546    2.021
      13      141    0.014    1.455    0.231     6683    2.088
      14       47    0.005    1.341    0.205     2666    2.111
