#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0     4374    0.437    1.562    0.184     7997    2.364
       1     1707    0.171    1.429    0.218     2072    2.268
       2     1504    0.150    1.603    0.221     4047    2.261
       3      389    0.039    1.312    0.164     9172    2.364
       4      329    0.033    1.430    0.210     9824    2.241
       5      300    0.030    1.485    0.249      568    2.359
       6      276    0.028    1.493    0.248      177    2.416
       7      251    0.025    1.585    0.281     1551    2.227
       8      201    0.020    1.633    0.268      408    2.291
       9      197    0.020    1.533    0.244      865    2.235
      10      163    0.016    1.504    0.242     1273    2.219
      11      118    0.012    1.545    0.277     1186    2.419
      12       99    0.010    1.465    0.246     1034    2.220
      13       69    0.007    1.566    0.253     1401    2.357
      14       23    0.002    1.497    0.260     1085    2.566
